"Persona 1","Persona 2","Tipo"
"Santelices","Ximena Aguilera","positivo"
"Gabriel Boric","Deseo","positivo"
"Gabriel Boric","Javier Milei","neutral"
"Francisco Solar","Mónica Caballero","negativo"
"Evelyn Matthei","Expresidenta Bachelet","negativo"
"Gabriel Boric","Miguel Crispi","positivo"
"Castro","Carlos Montes","negativo"
"Tensión","Ivon Aguilera","neutral"
"Exs Paulina Veloso","Ana Lya Uriarte","neutral"
"Luis Tranamil","Eugenio Naín","neutral"
"Plebiscito","J.A. Kast","neutral"
"Camila Vallejo","Carlos Contreras","neutral"
"Luis Hermosilla","Leonarda Villalobos","neutral"
"Signos","Luis Hermosilla","negativo"
"Pedro Barrientos","Víctor Jara","neutral"
"Axel Callís","Caso Hermosilla","neutral"
"Senador Insulza","Kissinger","neutral"
"Kissinger","Rojo Edwards","neutral"
"Luis Hermosilla","Sauerbaum","negativo"
"Eduardo Frei","Factop","neutral"
"Camila Vallejo","Lagos Weber","neutral"
"Cristián Vargas","J.D Montalva","neutral"
"Lagos Weber","Camila Vallejo","neutral"
"Luis Hermosilla","Jaime Guzmán","negativo"
"José De Gregorio","Gabriel Boric","negativo"
"Claudio Fuentes","Carolina Leitao","neutral"
"Economista Claudio Agostini","Luis Hermosilla","negativo"
"Mejor Niñez","Yasna Provoste","positivo"
"Gabriel Boric","Javier Milei","neutral"
"Sebastián Piñera","Javier Milei","positivo"
"Cordero","Caso Hermosilla","neutral"
"Gabriel Boric","Javier Milei","neutral"
"Hacienda del Senado","Luis Hermosilla","neutral"
"Luis Hermosilla","Leonarda Villalobos","positivo"
"Leonarda Villalobos","Luis Hermosilla","neutral"
"Expresidenta Bachelet","Catalina Lagos","positivo"
"Jouannet","Matías Meza-Lopenhandía","neutral"
"Gabriel Boric","Luis Hermosilla","neutral"
"Cordero","Luis Hermosilla","negativo"
"Marcela Vacarezza","Luis Hermosilla","neutral"
"Luis Hermosilla","Miguel Crispi","negativo"
"Gabriel Boric","Felipe Kast","negativo"
"Gabriel Boric","Joan Jara","neutral"
"Javiera Martínez","Presupuesto","neutral"
"Jorge Molina","Chile Narco","negativo"
"Joan Jara","Víctor Jara","negativo"
"Beatriz Hevia","Camila Vallejo","negativo"
"Michelle Bachelet","Sergio Massa","neutral"
"Sebastián Piñera","Javier Milei","positivo"
"Catalina Pérez","Latorre","neutral"
"Marcos Barraza","Gabriel Boric","negativo"
"Tensión","Sergio Micco","negativo"
"Tere Marinovic","Felipe Kast","negativo"
"Ricardo Solari","Camila Miranda","positivo"
"Matías Meza-Lopenhandía","Gabriel Boric","positivo"
"Lagos Weber","Matías Walker","negativo"
"Adriana Delpiano","Héctor Sánchez","neutral"
"Matías Meza-Lopenhandía","Gabriel Boric","neutral"
"Matías Meza-Lopenhandía","Gabriel Boric","neutral"
"Matías Meza-Lopenhandía","Gabriel Boric","positivo"
"Ricardo Lagos","Michelle Bachelet","neutral"
"Javier Couso","José Piñera","neutral"
"Bernardo Larraín","Catalina Lagos","neutral"
"Marco Moreno","Cristián Leporati","neutral"
"Rodrigo Arellano","Jorge Correa Sutil","neutral"
"Iván Moreira","Felipe Kast","neutral"
"Gabriel Boric","Joe Biden","neutral"
"Gloria Hutt","Amarillos","positivo"
"Eric Aedo","Leonardo Soto","neutral"
"Gabriel Boric","Mario Ignacio Artaza","neutral"
"Papa Francisco","Fernando Chomalí","neutral"
"Marta Lagos","Clarisa Hardy","neutral"
"Juan Diego Montalva","Cristóbal Bellolio","neutral"
"Expresidenta Bachelet","Carlos Lorca Tobar","positivo"
"Gabriel Boric","Mahmud Abás","neutral"
"Embajador Artzyeli","Subsecretario Monsalve","neutral"
"Daniel Grimaldi","Sebastián Piñera","negativo"
"Camila Vallejo","Miguel Crispi","positivo"
"Vlado Mirosevic","Jaime Guzmán","negativo"
"Gabriel Boric","Xi Jinping","positivo"
"María Olivia Mönckeberg","Opus Dei","neutral"
"Ricardo Martínez Menanteau","Gonzalo Pinochet","neutral"
"Gabriel Boric","Xi Jinping","neutral"
"Formalizarán","Piñera Felipe Bulnes","neutral"
"Arrau","flaite","negativo"
"Exmilitar Pedro Barrientos","Víctor Jara","neutral"
"Paula Cortés","Raúl Soto","neutral"
"Humo","Comisión Experta","neutral"
"Camila Vallejo","Matías Meza-Lopenhandía","neutral"
"Jacques Chonchol","Salvador Allende","negativo"
"Mijael Carvones","Ercilla","negativo"
"Casa Barnes","Gonzalo Pinochet","neutral"
"Matías Meza-Lopenhandía","Camila Vallejo","positivo"
"Bulnes","Gabriel Boric","negativo"
"Evelyn Matthei","Felipe Kast","negativo"
"Santa Mónica","Irací Hassler","neutral"
"Ex Ríos","Sebastián Piñera","negativo"
"Gabriel Boric","Plan Nacional","neutral"
"Flavio Quezada","Gonzalo Pinochet","positivo"
"Gabriel Boric","Orlando Letelier","negativo"
"Joan Garcés","Salvador Allende","positivo"
"Gabriel Boric","Salvador Allende","positivo"
"Cristián Warnken","Felipe Kast","neutral"
"Rodrigo Castillo","Iván Weissman","neutral"
"Edgardo Riveros","Cristián Leporati","neutral"
"Matías Meza-Lopenhandía","Gabriel Boric","neutral"
"José I. Núñez","Alejandro Alarcón","neutral"
"Gabriel Boric","Plan de Búsqueda","positivo"
"Gabriel Boric","Giorgio Jackson","neutral"
"Tironi","Jaime Guzmán","negativo"
"Gabriel Boric","Ortega","neutral"
"Magdalena Vergara","Álvaro Ramis","neutral"
"Pedro Ramírez","Salvador Allende","negativo"
"María Antonieta Saa","Ricardo Hormazábal","neutral"
"Isabel Allende","Hortensia Bussi","neutral"
"Mandatario","Salvador Allende","neutral"
"Ex s","Baltasar Garzón","negativo"
"Gabriel Boric","Salvador Allende","positivo"
"Eugenio Berríos","Gonzalo Pinochet","positivo"
"Economista Guillermo Larraín","Gonzalo Pinochet","negativo"
"Consejero Silva","Camila Vallejo","positivo"
"Gabriel Boric","Frei Ruiz-Tagle","neutral"
"Magdalena Vergara","Álvaro Ramis","neutral"
"Felipe Kast","Rechazo","positivo"
"Gabriel Boric","Ricardo Lagos","neutral"
"Edgardo Riveros","Gómez","neutral"
"Hernán Larraín Matte","Eduardo Silva","neutral"
"Carlos Contreras","Daniel Andrade","negativo"
"Rodrigo Castillo","Andrés Mena","neutral"
"Philippe Sands","Gonzalo Pinochet","negativo"
"Gabriel Boric","Guillermo Teillier","negativo"
"Gabriel Boric","Guillermo Teillier","neutral"
"Príncipe","PC Guillermo Teillier","negativo"
"Evelyn Matthei","Felipe Kast","neutral"
"Gabriel Salazar","Salvador Allende","neutral"
"Víctor Jara","Operación Cóndor","neutral"
"Subsecretaria Nicole Cardoch","Gobierno","neutral"
"Hugo Herrera","Juan Diego Montalva","neutral"
"Paulina Núñez","Rodrigo Galilea","neutral"
"Campos","Expresidenta Bachelet","neutral"
"Camilo Escalona","Salvador Allende","neutral"
"Matías Meza-Lopenhandía","Frei Ruiz-Tagle","neutral"
"Escultor Óscar Plandiura","Baquedano","positivo"
"Isapres","Tercera Sala","negativo"
"Desbordes","Chávez","neutral"
"Correa Sutil","Onofre Jarpa","positivo"
"Aldo Cassinelli","Jorge Correa Sutil","neutral"
"Lucía Miranda","Javier Milei","positivo"
"Evelyn Matthei","Nicolás Cataldo","positivo"
"Axel Kaiser","Javier Milei","neutral"
"Gabriel Boric","Sebastián Piñera","positivo"
"Felipe Kast","Javier Milei","positivo"
"Gabriel Boric","Sergio Onofre Jarpa","negativo"
"Giorgio Jackson","Fidel Espinoza","neutral"
"Gabriel Boric","Giorgio Jackson","positivo"
"Jaque al Rey","Giorgio Jackson","neutral"
"Expresidenta Bachelet","Gabriel Boric","neutral"
"Schneider","León Cosmelli","neutral"
"Diego Ibáñez","Juan Sutil","neutral"
"Subsecretario Monsalve","Gobernador","positivo"
"Axel Kaiser","De La Carrera","neutral"
"Jaime Huincahue","Sebastián Piñera","positivo"
"Diputada Fries","Giorgio Jackson","neutral"
"Gabriel Boric","Cordero","neutral"
"Sebastián Piñera","Evelyn Matthei","negativo"
"Ricardo Raphael","Alberto Undurraga","neutral"
"Oposición  Macaya","Gabriel Boric","negativo"
"Isabel Orellana","Mujer","negativo"
"Camila Vallejo","De Gregorio","positivo"
"Franco Parisi","Gaspar Rivas","positivo"
"Marcela Vacarezza","Luis Hermosilla","neutral"
